gene_id,1622003800C,1621001800C,1622003500C,1621003700C,1621002900C,1621002200C,162200380CP,162100180CP,162200350CP,162100370CP,162100290CP,162100220CP
NONHSAG115245.1,0,0,0,0,0,0,1,0,0,0,0,1
NONHSAG103616.1,0,0,1,0,0,0,0,0,0,0,0,0
NONHSAG103615.1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000224630,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000268988,0,0,13,0,0,0,0,0,0,0,0,0
NONHSAG115085.1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000155495,16,1,13,102,0,0,2,0,1,8,0,0
ENSG00000165509,0,0,1,1,1,2,3,2,5,1,0,3
ENSG00000196406,0,0,6,0,0,0,0,0,0,0,0,0
ENSG00000203926,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000198021,0,0,1,0,0,0,0,0,0,0,0,0
NONHSAG103611.1,1,0,2,3,0,1,0,1,0,0,0,0
ENSG00000277215,53,58,33,35,23,59,52,55,78,56,40,56
ENSG00000182195,1247,1253,1215,1865,1121,624,1175,1635,1080,1309,1177,1419
ENSG00000227234,0,0,45,0,0,0,0,0,0,0,0,0
NONHSAG103911.1,151,149,128,69,101,181,230,124,174,151,125,158
NONHSAG055439.2,0,0,0,4,0,0,4,0,0,0,0,0
MSTRG.5757|ENSG00000203930,19075,11836,7660,4497,8247,40958,6155,14526,30602,90822,84218,122503
ENSG00000230668,0,0,0,2,0,0,0,0,0,0,0,3
NONHSAG103607.1,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000230707,0,0,1,0,1,2,0,1,5,3,2,0
NONHSAG103908.1,6,13,3,8,2,17,9,6,17,7,10,14
NONHSAG103604.1,3,0,4,3,2,5,9,2,14,9,4,7
NONHSAG103907.1,0,2,0,1,2,4,0,2,1,0,5,2
MSTRG.5837|ENSG00000101974,2225,2273,1181,2702,1683,3213,1397,1847,2014,2047,1991,2288
ENSG00000101981,0,4,0,0,0,0,0,2,0,2,0,0
NONHSAG103931.1,5,6,6,1,2,1,10,7,2,7,4,10
NONHSAG055419.2,7,6,10,13,6,6,4,1,9,5,5,5
ENSG00000226031,4,5,0,1,0,5,12,5,16,11,16,24
NONHSAG103602.1,0,2,2,0,1,0,4,2,1,7,2,1
ENSG00000156925,0,0,2,1,6,1,0,0,1,0,0,0
NONHSAG103600.1,9,7,11,6,2,5,13,8,11,11,9,14
ENSG00000225400,0,0,0,0,0,0,0,0,0,2,0,1
NONHSAG115240.1,28,11,14,18,24,26,56,24,44,41,29,28
ENSG00000225125,6,5,3,3,6,2,15,1,8,19,6,8
ENSG00000231164,0,0,0,0,2,0,0,0,0,0,0,0
MSTRG.5835|ENSG00000129675,2490,3305,1338,1219,2012,4054,3510,3147,3628,6438,6546,7686
ENSG00000233093,12,18,10,3,15,9,5,8,5,6,8,8
ENSG00000102243,5,30,1,81,0,3,115,95,84,104,90,53
MSTRG.5756|ENSG00000102241,2163,1715,1728,2153,2008,1741,2020,2286,1774,2588,2296,2218
ENSG00000102239,0,0,0,0,0,0,0,0,2,2,1,0
NONHSAG103598.1,65,46,36,33,53,82,72,42,134,53,48,47
MSTRG.5755|ENSG00000022267,3898,2827,883,1045,1786,26571,2341,3666,11565,20297,36342,28214
ENSG00000231513,2,1,0,0,0,0,0,0,0,0,1,1
ENSG00000198689,315,920,362,298,685,642,477,628,605,847,715,637
ENSG00000169446,1590,1893,1695,1382,2020,1690,1834,2338,1477,2574,2813,2528
NONHSAG055396.2,0,0,1,0,1,0,1,3,0,2,3,3
ENSG00000230162,0,3,2,1,0,2,1,2,0,4,8,4
ENSG00000181433,7,0,0,0,1,0,2,0,0,1,1,0
ENSG00000269586,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000269096,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000225769,0,2,0,0,0,0,0,0,1,1,0,0
NONHSAG055387.2,2,7,0,1,1,8,5,5,3,7,2,3
NONHSAG055384.2,33,20,14,11,12,19,46,12,21,21,17,10
ENSG00000186376,439,493,369,494,429,511,609,447,601,682,434,570
ENSG00000236491,0,0,0,0,0,1,0,2,0,0,0,0
ENSG00000169551,0,1,0,1,1,1,0,3,3,0,2,4
NONHSAG104531.1,1,1,0,1,1,0,2,5,2,0,0,0
ENSG00000286964,30,46,35,74,27,49,42,52,32,70,56,43
ENSG00000134590,1356,3000,1904,2595,1975,2591,1489,2007,1988,2332,2694,2335
NONHSAG055369.3,150,135,208,156,154,119,309,164,180,213,168,191
NONHSAG115238.1,1,0,1,2,2,1,4,3,0,3,2,0
ENSG00000184785,63,211,59,73,60,310,114,244,143,274,234,242
NONHSAG103897.1,42,32,34,26,26,44,50,33,68,38,43,32
NONHSAG055362.3,21,30,24,26,24,33,55,36,55,59,31,54
NONHSAG103896.1,1,0,0,0,0,2,1,1,0,0,1,1
NONHSAG055360.2,6,10,1,2,0,3,13,3,6,10,5,8
ENSG00000280249,0,1,0,2,0,2,1,3,1,1,2,1
NONHSAG103594.1,0,0,3,2,1,1,0,4,6,2,1,0
ENSG00000156504,536,758,996,999,785,846,872,950,753,1040,953,879
ENSG00000199920,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000170965,8,3,19,4,3,0,2,5,0,0,0,0
ENSG00000226107,0,2,0,2,1,2,2,2,1,0,0,1
ENSG00000165704,561,751,1356,557,652,599,468,864,314,493,433,487
NONHSAG055346.2,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283638,2,0,2,0,1,2,0,4,0,0,0,0
NONHSAG103592.1,1,0,0,0,0,0,1,1,1,0,3,0
ENSG00000233260,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000227008,1,1,0,0,0,0,2,0,0,0,1,1
ENSG00000147257,683,711,4219,107,346,1065,883,2248,1509,3657,3837,3293
ENSG00000076716,1585,1240,557,1738,3846,571,933,591,940,1130,834,998
ENSG00000134588,0,0,1,1,0,1,1,2,0,2,0,1
NONHSAG104517.2,4,4,6,6,2,3,3,2,2,2,3,8
NONHSAG103588.2,0,0,3,2,5,1,5,3,0,1,0,2
ENSG00000227064,0,0,1,0,0,0,2,0,0,0,0,1
ENSG00000171004,113,95,383,414,472,88,317,262,25,118,47,335
ENSG00000232160,111,183,87,78,107,129,218,243,169,190,227,271
MSTRG.5832|ENSG00000123728,1471,1498,1971,1407,1357,1008,1037,1041,722,1085,921,985
NONHSAG103585.1,19,13,6,0,7,12,23,13,34,12,5,11
ENSG00000134602,732,389,421,491,498,160,382,524,252,395,332,355
NONHSAG055325.2,0,0,2,0,1,0,0,1,0,1,0,1
NONHSAG055324.2,0,0,0,0,0,0,0,0,0,1,0,0
NONHSAG055322.2,0,0,0,0,0,0,0,1,0,0,0,0
NONHSAG055319.2,0,0,1,0,2,1,0,0,0,0,0,1
NONHSAG055318.2,4,2,4,2,5,1,2,0,4,3,0,2
NONHSAG055316.2,1,0,2,0,1,1,3,1,1,1,1,0
ENSG00000235730,0,0,4,0,0,0,0,1,0,2,1,0
ENSG00000232787,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000286060,0,1,11,1,0,1,0,1,0,1,1,1
ENSG00000242610,0,0,6,0,0,0,0,0,0,0,0,0
ENSG00000185903,0,0,3,0,0,0,0,0,0,0,0,0
ENSG00000147255,13,245,736,7,6,30,80,1228,376,177,312,215
ENSG00000237650,0,1,0,0,0,0,0,0,0,0,0,0
MSTRG.5830|ENSG00000165675,559,557,661,535,594,541,419,502,604,640,566,633
